edge_id,aadt_volume,section_name
222970218#0,88000.0,MEMOR8C
558320182#7,50000.0,16AV/TCH9
198107934,46000.0,14STNW12
1427294341#7,45000.0,16AV/TCH10
1427294341#0,44000.0,16AV/TCH10B
32105663#9,43000.0,16AV/TCH12
46788423#4,43000.0,16AV/TCH8
558320180#17,42000.0,16AV/TCH11
558320180#10,42000.0,16AV/TCH11B
198464181#1,40000.0,4AVS12
558320190#0,40000.0,16AV/TCH7
222970223#0,38000.0,4AVS13
1349096472#1,36000.0,14STNW12A
32097429,36000.0,9AVS1
1325528763#1,35000.0,5AVS14
357501306#1,33000.0,9AVS6
248402400#1,31000.0,14STNW13
209086947#8,31000.0,9AVS5
254287943#2,30000.0,5AVS13
166187515#2,30000.0,9AVS2
292896517,30000.0,MEMOR9A
19165946,29000.0,4AVS15(E)
209086947#3,29000.0,9AVS3
203404552#1,29000.0,9AVS7
196795517,29000.0,MEMOR10
254577645,27000.0,1STE6
149621572#2,27000.0,MEMOR9
200879002#4,26000.0,4AVS11
166789709#3,25000.0,14STNW14
198248662#10,25000.0,1STE10
198464186#5,25000.0,4AVS6
1271398199#1,25000.0,4AVS8
1423613729#3,25000.0,9AVS8
-459593649#1,24000.0,14STNW15A
52510292#1,24000.0,4AVS10
222970219#5,24000.0,4AVS9
1185630532#4,24000.0,MACLEOD6
135678688#1,23000.0,1STE7
253752849#0,23000.0,BOW10
468730823#1,23000.0,MACLEOD3
254577639#1,23000.0,MACLEOD4
-255627354#3,22000.0,14STNW15D
198248661#1,21000.0,1STE3
166789707#4,21000.0,1STE4
198107933#1,21000.0,9AVS11
1463656910#2,21000.0,MACLEOD5
166789703#0,20000.0,1STE8
32000793#1,20000.0,4AVS3
196588540#3,20000.0,5AVS10
209086946#1,20000.0,6AVS1
807915578#1,20000.0,6AVS7
32548081#1,19000.0,1STE2
196565641,19000.0,4AVS2
19165392#5,19000.0,5AVS11
940306671#1,19000.0,5AVS9
141106316#2,19000.0,6AVS3
204156098#5,19000.0,6AVS4
198464189#2,19000.0,9AVS12
1463656916#8,19000.0,MACLEOD7
203177444#4,18000.0,4AVS5
141116803#1,18000.0,5AVS7
141116803#5,18000.0,5AVS8
141116807#1,18000.0,6AVS6
1271380733#0,18000.0,9AVS13
196550929#0,18000.0,MACLEOD2
1463656916#0,18000.0,MACLEOD8
198248650#2,17000.0,5AVS12
166789715#8,16000.0,11AVS9
166790915#11,16000.0,6AVS8
32547688#1,16000.0,CENTRE11
141116818#4,15000.0,12AVS8
32000911,15000.0,10STW5
166789715#1,15000.0,11AVS10
203406169#2,15000.0,11AVS3
-494157191#4,15000.0,11AVS4
1409499802#2,15000.0,11AVS5
807915577#7,15000.0,11AVS6
807915577#0,15000.0,11AVS7
1269812659#1,15000.0,11AVS8
166790915#1,15000.0,6AVS9
600592567#8,14000.0,17AVSW10
166789694#0,14000.0,11AVS12
511579311#10,14000.0,11AVS2
233756657#1,14000.0,17AVSW12
233756424#3,14000.0,17AVSW14
130359884#1,14000.0,17AVSW8
204072396#2,14000.0,5AVS6
458205292#3,14000.0,6AVS10
921413373,14000.0,9AVS19
141116806#1,13000.0,12AVS9
12100756#2,13000.0,11AVS11
257636719-AddedOnRampEdge,13000.0,4AVS15(W)
131157671#1,13000.0,6AVS13
511579309#1,12000.0,12AVS11
1463656925#2,12000.0,12AVS12
-248415514#2,12000.0,12AVS5
166789702#3,12000.0,12AVS6
4609140#5,12000.0,11AVS13
1272983205#1,12000.0,12AVS10
233756423#9,12000.0,17AVSW16
24836134#2,12000.0,6AVS11
140445175#2,12000.0,9AVS14
-203184933#2,12000.0,9AVS15
32000753,12000.0,5STW6
172465958#1,12000.0,5STW7
1272736250#1,11000.0,12AVS2
166789708#1,11000.0,12AVS3
491849870#2,11000.0,12AVS4
204201293#1,11000.0,17AVSW15
23278070#1,11000.0,17AVSW17
166789695#2,11000.0,4STSW3
32517496,11000.0,4STSW4
203404550#2,11000.0,5AVS5
140445177#3,11000.0,6AVS12
204072389#0,11000.0,5STW4
457363886#2,11000.0,5STW8
166789705#7,11000.0,8STW2
179489270#1,11000.0,8STW3
166789696#2,11000.0,8STW5
-172360433#27,11000.0,8STW6
1272726821#1,10000.0,12AVS13
467197875,10000.0,5AVS2
141106319#2,10000.0,5AVS3
663335284,10000.0,5AVS4
502712725#0,10000.0,8STW4
1270794194#1,10000.0,8STW7
172360433#1,9000.0,4STSW7
471326820#0,9000.0,4STSW6
467454087#1,9000.0,4STSW2
32000798#3,9000.0,8STW1C
32000716#3,9000.0,5STW2
1423613723#0,9000.0,5STW5
141116800#2,9000.0,5STW9
32517306#0,8000.0,4STSW5
506294366#6,8000.0,4STSW8
1273270801#1,8000.0,5STW10
204072399#1,8000.0,5STW3
-141106313#2,7000.0,8STW1D
467193014#2,7000.0,5AVS1
141116802#2,5000.0,4STSW1
196471986#0,5000.0,MACLEOD2A
-1268332928#5,4000.0,17AVSW18
19164989#2,4000.0,5AVS1A
