edge_id,observed_peak_hour,assigned_volume,geh
-24962865#2,7920.0,0,125.86
558320182#7,4500.0,2181,40.12
198107934,4140.0,1411,51.80
1427294341#7,4050.0,2097,35.23
1427294341#0,3960.0,2345,28.76
32105663#9,3870.0,1409,47.90
46788423#4,3870.0,1486,46.07
558320180#17,3780.0,2167,29.58
558320180#10,3780.0,1730,39.06
198464181#1,3600.0,4509,14.28
558320190#0,3600.0,578,66.12
222970223#0,3420.0,3967,9.00
1349096472#1,3240.0,2108,21.89
32097429,3240.0,531,62.39
1325528763#1,3150.0,2265,17.01
357501306#1,2970.0,4963,31.64
248402400#1,2790.0,1915,18.04
209086947#8,2790.0,3971,20.31
254287943#2,2700.0,3113,7.66
166187515#2,2700.0,2838,2.62
292896517,2700.0,1111,36.40
19165946,2610.0,1909,14.75
209086947#3,2610.0,3284,12.42
203404552#1,2610.0,3776,20.63
-171068183,2610.0,0,72.25
117568310#3,2430.0,0,69.71
149621572#2,2430.0,0,69.71
200879002#4,2340.0,1670,14.96
166789709#3,2250.0,1036,29.95
198248662#10,2250.0,1646,13.68
198464186#5,2250.0,2929,13.34
1271398199#1,2250.0,3004,14.71
1423613729#3,2250.0,3382,21.33
-459593649#1,2160.0,796,35.48
52510292#1,2160.0,3069,17.78
222970219#5,2160.0,2773,12.34
1185630532#4,2160.0,2299,2.94
135678688#1,2070.0,4257,38.88
416137859#2,2070.0,0,64.34
468730823#1,2070.0,2489,8.78
334561401,2070.0,0,64.34
143419581#31,1980.0,0,62.93
198248661#1,1890.0,4127,40.78
166789707#4,1890.0,2490,12.82
807001346#1,1890.0,0,61.48
-222035969#31,1890.0,0,61.48
166789703#0,1800.0,2641,17.85
32000793#1,1800.0,841,26.39
196588540#3,1800.0,3805,37.87
209086946#1,1800.0,3213,28.22
807915578#1,1800.0,4516,48.33
32548081#1,1710.0,3423,33.81
196565641,1710.0,2328,13.75
19165392#5,1710.0,3194,29.97
940306671#1,1710.0,3921,41.67
141106316#2,1710.0,2804,23.03
204156098#5,1710.0,3895,41.27
198464189#2,1710.0,3478,34.71
1463656916#8,1710.0,1299,10.60
203177444#4,1620.0,2226,13.82
141116803#1,1620.0,4585,53.23
141116803#5,1620.0,4277,48.93
141116807#1,1620.0,4300,49.26
1271380733#0,1620.0,3154,31.40
196550929#0,1620.0,1705,2.08
1463656916#0,1620.0,878,21.00
198248650#2,1530.0,2247,16.50
166789715#8,1440.0,3534,41.99
166790915#11,1440.0,4186,51.77
32547688#1,1440.0,2185,17.50
141116818#4,1350.0,1506,4.13
32000911,1350.0,1413,1.69
166789715#1,1350.0,3271,39.96
203406169#2,1350.0,1842,12.32
254092256#3,1350.0,0,51.96
1409499802#2,1350.0,2378,23.81
807915577#7,1350.0,2182,19.80
807915577#0,1350.0,2190,19.97
1269812659#1,1350.0,2223,20.65
166790915#1,1350.0,2536,26.91
600592567#8,1260.0,522,24.72
166789694#0,1260.0,2668,31.77
511579311#10,1260.0,1345,2.36
702937466#1,1260.0,0,50.20
233756424#3,1260.0,701,17.85
130359884#1,1260.0,414,29.24
204072396#2,1260.0,3485,45.68
458205292#3,1260.0,2549,29.54
-1169423726#0,1260.0,0,50.20
141116806#1,1170.0,1102,2.02
12100756#2,1170.0,2949,39.20
257636719-AddedOnRampEdge,1170.0,1524,9.65
131157671#1,1170.0,1105,1.93
511579309#1,1080.0,506,20.38
1463656925#2,1080.0,329,28.29
1306436075#0,1080.0,0,46.48
166789702#3,1080.0,1213,3.93
4609140#5,1080.0,754,10.77
1272983205#1,1080.0,563,18.04
233756423#9,1080.0,198,34.89
24836134#2,1080.0,2467,32.94
140445175#2,1080.0,990,2.80
-203184933#2,1080.0,11,45.77
970999423#0,1080.0,0,46.48
-494211396#3,1080.0,0,46.48
1272736250#1,990.0,533,16.56
166789708#1,990.0,787,6.81
491849870#2,990.0,961,0.93
204201293#1,990.0,635,12.45
238137235#2,990.0,0,44.50
-416137859#2,990.0,0,44.50
166789695#2,990.0,2427,34.77
32517496,990.0,2820,41.93
203404550#2,990.0,3160,47.64
140445177#3,990.0,2829,42.08
963746559#2,990.0,0,44.50
827800871#0,990.0,0,44.50
166789705#7,990.0,1532,15.26
179489270#1,990.0,1500,14.45
166789696#2,990.0,884,3.46
914784665#1,990.0,0,44.50
1272726821#1,900.0,1005,3.40
467197875,900.0,1428,15.48
-958545245#1,900.0,0,42.43
663335284,900.0,1721,22.68
-209551867#9,900.0,0,42.43
1270794194#1,900.0,125,34.23
172360433#1,810.0,398,16.76
471326820#0,810.0,1194,12.13
222040779,810.0,0,40.25
586108920#6,810.0,0,40.25
1318153615#1,810.0,0,40.25
1423613723#0,810.0,393,17.00
675069734#0,810.0,0,40.25
-222035969#10,720.0,0,37.95
675069756#2,720.0,0,37.95
675068149#1,720.0,0,37.95
204072399#1,720.0,442,11.53
1383744528#3,630.0,0,35.50
467193014#2,630.0,619,0.44
141116802#2,450.0,1007,20.64
196471986#0,450.0,1090,23.06
-1268332928#5,360.0,225,7.89
244983181#1,360.0,0,26.83
