edge_id,section_name,observed_peak_hour,assigned_volume,geh
222970218#0,MEMOR8C,7920.0,3836,53.27
558320182#7,16AV/TCH9,4500.0,1516,54.41
198107934,14STNW12,4140.0,678,70.54
1427294341#7,16AV/TCH10,4050.0,1348,52.01
1427294341#0,16AV/TCH10B,3960.0,1360,50.41
32105663#9,16AV/TCH12,3870.0,1261,51.51
46788423#4,16AV/TCH8,3870.0,1443,47.09
558320180#17,16AV/TCH11,3780.0,1230,50.95
558320180#10,16AV/TCH11B,3780.0,1103,54.18
198464181#1,4AVS12,3600.0,1389,44.27
558320190#0,16AV/TCH7,3600.0,1679,37.39
222970223#0,4AVS13,3420.0,1449,39.95
1349096472#1,14STNW12A,3240.0,2244,19.02
32097429,9AVS1,3240.0,431,65.57
1325528763#1,5AVS14,3150.0,1233,40.95
357501306#1,9AVS6,2970.0,1821,23.48
248402400#1,14STNW13,2790.0,1845,19.63
209086947#8,9AVS5,2790.0,1696,23.10
254287943#2,5AVS13,2700.0,3180,8.85
166187515#2,9AVS2,2700.0,1823,18.44
292896517,MEMOR9A,2700.0,229,64.57
19165946,4AVS15(E),2610.0,1031,37.01
209086947#3,9AVS3,2610.0,1576,22.60
203404552#1,9AVS7,2610.0,1653,20.73
196795517,MEMOR10,2610.0,1060,36.18
254577645,1STE6,2430.0,595,47.18
149621572#2,MEMOR9,2430.0,0,69.71
200879002#4,4AVS11,2340.0,436,51.11
166789709#3,14STNW14,2250.0,934,32.98
198248662#10,1STE10,2250.0,404,50.68
198464186#5,4AVS6,2250.0,942,32.74
1271398199#1,4AVS8,2250.0,959,32.23
1423613729#3,9AVS8,2250.0,1543,16.23
-459593649#1,14STNW15A,2160.0,699,38.64
52510292#1,4AVS10,2160.0,955,30.53
222970219#5,4AVS9,2160.0,925,31.45
1185630532#4,MACLEOD6,2160.0,959,30.41
135678688#1,1STE7,2070.0,954,28.70
253752849#0,BOW10,2070.0,836,32.37
468730823#1,MACLEOD3,2070.0,1207,21.32
254577639#1,MACLEOD4,2070.0,1056,25.65
-255627354#3,14STNW15D,1980.0,482,42.70
198248661#1,1STE3,1890.0,921,25.85
166789707#4,1STE4,1890.0,554,38.22
198107933#1,9AVS11,1890.0,1595,7.07
1463656910#2,MACLEOD5,1890.0,863,27.68
166789703#0,1STE8,1800.0,694,31.32
32000793#1,4AVS3,1800.0,106,54.87
196588540#3,5AVS10,1800.0,1627,4.18
209086946#1,6AVS1,1800.0,1812,0.28
807915578#1,6AVS7,1800.0,1038,20.23
32548081#1,1STE2,1710.0,1146,14.93
196565641,4AVS2,1710.0,1223,12.72
19165392#5,5AVS11,1710.0,2167,10.38
940306671#1,5AVS9,1710.0,1555,3.84
141106316#2,6AVS3,1710.0,690,29.44
204156098#5,6AVS4,1710.0,946,20.96
198464189#2,9AVS12,1710.0,1584,3.10
1463656916#8,MACLEOD7,1710.0,500,36.40
203177444#4,4AVS5,1620.0,913,19.87
141116803#1,5AVS7,1620.0,1550,1.76
141116803#5,5AVS8,1620.0,1600,0.50
141116807#1,6AVS6,1620.0,1020,16.51
1271380733#0,9AVS13,1620.0,941,18.97
196550929#0,MACLEOD2,1620.0,895,20.44
1463656916#0,MACLEOD8,1620.0,306,42.34
198248650#2,5AVS12,1530.0,2365,18.92
166789715#8,11AVS9,1440.0,859,17.14
166790915#11,6AVS8,1440.0,1035,11.51
32547688#1,CENTRE11,1440.0,872,16.71
141116818#4,12AVS8,1350.0,465,29.38
32000911,10STW5,1350.0,829,15.78
166789715#1,11AVS10,1350.0,719,19.62
203406169#2,11AVS3,1350.0,1114,6.72
-494157191#4,11AVS4,1350.0,301,36.51
1409499802#2,11AVS5,1350.0,1107,6.93
807915577#7,11AVS6,1350.0,869,14.44
807915577#0,11AVS7,1350.0,855,14.91
1269812659#1,11AVS8,1350.0,762,18.09
166790915#1,6AVS9,1350.0,722,19.51
600592567#8,17AVSW10,1260.0,356,31.80
166789694#0,11AVS12,1260.0,589,22.07
511579311#10,11AVS2,1260.0,909,10.66
233756657#1,17AVSW12,1260.0,240,37.25
233756424#3,17AVSW14,1260.0,256,36.47
130359884#1,17AVSW8,1260.0,264,36.08
204072396#2,5AVS6,1260.0,1314,1.51
458205292#3,6AVS10,1260.0,706,17.67
921413373,9AVS19,1260.0,517,24.93
141116806#1,12AVS9,1170.0,232,35.43
12100756#2,11AVS11,1170.0,617,18.50
257636719-AddedOnRampEdge,4AVS15(W),1170.0,742,13.84
131157671#1,6AVS13,1170.0,434,25.99
511579309#1,12AVS11,1080.0,224,33.52
1463656925#2,12AVS12,1080.0,193,35.16
-248415514#2,12AVS5,1080.0,127,38.79
166789702#3,12AVS6,1080.0,407,24.68
4609140#5,11AVS13,1080.0,293,30.04
1272983205#1,12AVS10,1080.0,224,33.52
233756423#9,17AVSW16,1080.0,113,39.59
24836134#2,6AVS11,1080.0,676,13.63
140445175#2,9AVS14,1080.0,358,26.93
-203184933#2,9AVS15,1080.0,134,38.40
32000753,5STW6,1080.0,20,45.20
172465958#1,5STW7,1080.0,264,31.48
1272736250#1,12AVS2,990.0,322,26.08
166789708#1,12AVS3,990.0,447,20.26
491849870#2,12AVS4,990.0,640,12.26
204201293#1,17AVSW15,990.0,130,36.34
23278070#1,17AVSW17,990.0,105,37.82
166789695#2,4STSW3,990.0,511,17.48
32517496,4STSW4,990.0,565,15.24
203404550#2,5AVS5,990.0,1298,9.11
140445177#3,6AVS12,990.0,874,3.80
204072389#0,5STW4,990.0,91,38.67
457363886#2,5STW8,990.0,158,34.73
166789705#7,8STW2,990.0,625,12.84
179489270#1,8STW3,990.0,593,14.11
166789696#2,8STW5,990.0,397,22.52
-172360433#27,8STW6,990.0,10,43.83
1272726821#1,12AVS13,900.0,473,16.30
467197875,5AVS2,900.0,1038,4.43
141106319#2,5AVS3,900.0,1146,7.69
663335284,5AVS4,900.0,1082,5.78
502712725#0,8STW4,900.0,439,17.82
1270794194#1,8STW7,900.0,78,37.17
172360433#1,4STSW7,810.0,66,35.55
471326820#0,4STSW6,810.0,268,23.35
467454087#1,4STSW2,810.0,526,10.99
32000798#3,8STW1C,810.0,548,10.05
32000716#3,5STW2,810.0,85,34.27
1423613723#0,5STW5,810.0,54,36.37
141116800#2,5STW9,810.0,78,34.74
32517306#0,4STSW5,720.0,404,13.33
506294366#6,4STSW8,720.0,0,37.95
1273270801#1,5STW10,720.0,18,36.54
204072399#1,5STW3,720.0,67,32.92
-141106313#2,8STW1D,630.0,9,34.74
467193014#2,5AVS1,630.0,611,0.76
141116802#2,4STSW1,450.0,325,6.35
196471986#0,MACLEOD2A,450.0,171,15.83
-1268332928#5,17AVSW18,360.0,105,16.72
19164989#2,5AVS1A,360.0,352,0.42
